name,slug,city,full_name,has_data
Abu Qir,abqir,Alexandria,Abu Qir Campus,true
Giza Dokki,dokki,Giza,Giza - Dokki Branch,false
Giza Smart Village,smart-village,Giza,Giza - Smart Village Branch,true
Cairo Heliopolis,heliopolis,Cairo,Cairo - Heliopolis Branch,false
New Alamein,alamein,Matrouh,New Alamein City - Alamein Branch,false
Alexandria Miami,miami,Alexandria,Alexandria - Miami Branch,false
Syria Latakia,latakia,Syria,Syria - Latakia Branch,false
Port Said,port-said,Port Said,Port Said - Port Said Branch,false
Aswan South Valley,south-valley,Aswan,Aswan - South Valley Branch,true
